n;ID;timestamp;agent.type;client.ip;client.packets;client.port;destination.port;host.ip;source.ip;event.start;host.name;network.bytes;process.pid;server.ip;destination.ip;Prioridad;Clasificacion;Bloque
1;T0001;Dec 3  2022 @ 03:08:57.727;RH00001;auditbeat;127.0.0.1;1;36350;8200;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:52.700;charlyhost;80B;27255;127.0.0.1;1;Critico;Bloque 43
2;T0002;Dec 3  2022 @ 03:08:57.727;RH00001;auditbeat;192.168.109.129;1;38410;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:49.681;charlyhost;60B;27255;169.254.169.254;3;En espera de validacion;-
3;T0003;Dec 3  2022 @ 03:08:55.727;RH00001;auditbeat;127.0.0.1;2;37225;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:25.466;charlyhost;771B;27196;127.0.0.53;3;En espera de validacion;-
4;T0004;Dec 3  2022 @ 03:08:54.727;RH00001;auditbeat;127.0.0.1;2;51780;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:44.418;charlyhost;116B;4750;127.0.0.1;1;Critico;Bloque 162
5;T0005;Dec 3  2022 @ 03:08:54.727;RH00001;auditbeat;127.0.0.1;4;51780;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:44.418;charlyhost;288B;19341;127.0.0.1;2;No critico;Bloque 544
6;T0006;Dec 3  2022 @ 03:08:54.727;RH00001;auditbeat;127.0.0.1;18;55094;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:38.347;charlyhost;13.7KB;25357;127.0.0.1;2;No critico;Bloque 624
7;T0007;Dec 3  2022 @ 03:08:54.727;RH00001;auditbeat;127.0.0.1;19;55094;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:38.346;charlyhost;13.9KB;27236;127.0.0.1;1;Critico;Bloque 301
8;T0008;Dec 3  2022 @ 03:08:52.781;RH00001;auditbeat;-;-;-;-;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;-;-;charlyhost;-;27255;-;3;En espera de validacion;-
9;T0009;Dec 3  2022 @ 03:08:52.696;RH00001;auditbeat;127.0.0.1;1;53914;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:48.866;charlyhost;80B;27236;127.0.0.1;2;No critico;Bloque 625
10;T0010;Dec 3  2022 @ 03:08:52.696;RH00001;auditbeat;127.0.0.1;1;53918;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:48.866;charlyhost;80B;27236;127.0.0.1;3;En espera de validacion;-
11;T0011;Dec 3  2022 @ 03:08:50.196;RH00001;auditbeat;192.168.109.129;14;51718;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:39.942;charlyhost;15.8KB;27236;35.193.143.25;2;No critico;Bloque 545
12;T0012;Dec 3  2022 @ 03:08:27.726;RH00001;auditbeat;127.0.0.1;2;60913;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:07:57.053;charlyhost;771B;27150;127.0.0.53;3;En espera de validacion;-
13;T0013;Dec 3  2022 @ 03:08:25.728;RH00001;auditbeat;127.0.0.1;17;59614;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:09.619;charlyhost;13.8KB;25357;127.0.0.1;3;En espera de validacion;-
14;T0014;Dec 3  2022 @ 03:08:25.728;RH00001;auditbeat;127.0.0.1;18;59614;6789;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:09.618;charlyhost;13.9KB;27170;127.0.0.1;1;Critico;Bloque 83
15;T0015;Dec 3  2022 @ 03:08:25.727;RH00001;auditbeat;127.0.0.1;1;59462;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:20.139;charlyhost;80B;27170;127.0.0.1;1;Critico;Bloque 117
16;T0016;Dec 3  2022 @ 03:08:25.727;RH00001;auditbeat;127.0.0.1;1;59460;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:20.139;charlyhost;80B;27170;127.0.0.1;1;Critico;Bloque 246
17;T0017;Dec 3  2022 @ 03:08:24.475;RH00001;auditbeat;192.168.109.129;1;47286;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:23.906;charlyhost;60B;27196;169.254.169.254;3;En espera de validacion;-
18;T0018;Dec 3  2022 @ 03:08:24.473;RH00001;auditbeat;127.0.0.1;1;59476;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:24.459;charlyhost;80B;27196;127.0.0.1;2;No critico;Bloque 583
19;T0019;Dec 3  2022 @ 03:08:24.472;RH00001;auditbeat;192.168.109.129;1;46904;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:20.902;charlyhost;60B;27196;169.254.169.254;2;No critico;Bloque 468
20;T0020;Dec 3  2022 @ 03:08:24.470;RH00001;auditbeat;192.168.109.129;1;46962;80;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:23.907;charlyhost;60B;27196;169.254.169.254;3;En espera de validacion;-
21;T0021;Dec 3  2022 @ 03:08:23.919;RH00001;auditbeat;192.168.109.129;15;38928;443;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:11.216;charlyhost;15.8KB;27170;35.193.143.25;2;No critico;Bloque 546
22;T0022;Dec 3  2022 @ 03:08:32.467;RH00001;auditbeat;127.0.0.1;6;39994;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:32.316;charlyhost;1.4KB;19341;127.0.0.1;3;En espera de validacion;-
23;T0023;Dec 3  2022 @ 03:08:32.464;RH00001;auditbeat;127.0.0.1;4;39994;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:32.318;charlyhost;1.3KB;4750;127.0.0.1;1;Critico;Bloque 206
24;T0024;Dec 3  2022 @ 03:08:32.464;RH00001;auditbeat;127.0.0.1;7;40000;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:32.317;charlyhost;1.4KB;19341;127.0.0.1;3;En espera de validacion;-
25;T0025;Dec 3  2022 @ 03:08:32.462;RH00001;auditbeat;127.0.0.1;5;40000;5000;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:32.318;charlyhost;1.3KB;4750;127.0.0.1;3;En espera de validacion;-
26;T0026;Dec 3  2022 @ 03:08:30.729;RH00001;auditbeat;127.0.0.1;2;37225;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:25.465;charlyhost;771B;27196;127.0.0.53;2;No critico;Bloque 428
27;T0027;Dec 3  2022 @ 03:08:30.729;RH00001;auditbeat;192.168.109.129;1;50052;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:25.505;charlyhost;287B;789;192.168.109.2;2;No critico;Bloque 512
28;T0028;Dec 3  2022 @ 03:08:30.729;RH00001;auditbeat;192.168.109.129;1;37381;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:25.467;charlyhost;402B;789;192.168.109.2;2;No critico;Bloque 429
29;T0029;Dec 3  2022 @ 03:08:30.729;RH00001;auditbeat;192.168.109.129;1;53179;53;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;192.168.109.129;Dec 3, 2022 @ 03:08:25.467;charlyhost;325B;789;192.168.109.2;3;En espera de validacion;-
30;T0030;Dec 3  2022 @ 03:08:29.728;RH00001;auditbeat;127.0.0.1;1;59502;5601;192.168.109.129, fe80::b4d5:fcf6:3dce:11cf;127.0.0.1;Dec 3, 2022 @ 03:08:24.463;charlyhost;80B;27196;127.0.0.1;1;Critico;Bloque 207
